ticker,buy,open,high,low,p_close,p_open,p_high,p_low,ibov_open,ibov_current,ibov_high,ibov_low,ibov_p_open,ibov_p_close,ibov_p_high,ibov_p_low,sell,take_profit,stop_loss,volume,avg_volume,bands_base,bands_lower,bands_upper,ma_4,ma_9,ma_21,ma_200,sma_4,sma_9,sma_21,sma_200,rsi_2,rsi_14,buy_date,sell_date,buy_day_of_week,profit
BPAC11,15.590000,15.590000,15.590000,15.590000,14.970000,14.910000,15.160000,14.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.250000,16.200000,14.640000,1,439.350000,14.112500,12.722034,15.502966,15.179028,14.794676,14.326527,-1.000000,15.182500,14.753333,14.104286,-1.000000,92.284790,73.925070,2017.09.01,2017.09.01,5,true
BPAC11,17.320000,16.790000,17.320000,16.600000,16.930000,17.310000,17.310000,16.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.920000,18.070000,16.930000,130,965.950000,15.416000,12.381140,18.450860,17.185962,16.767942,15.789602,-1.000000,17.267500,16.906667,15.311429,-1.000000,64.695490,74.367484,2017.09.13,2017.09.15,3,false
BPAC11,17.330000,17.190000,17.330000,17.030000,17.130000,16.790000,17.320000,16.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.550000,18.760000,16.600000,843,1167.300000,15.604000,12.631604,18.576396,17.197977,16.849954,15.913936,-1.000000,17.177500,17.147778,15.498095,-1.000000,72.917701,74.526199,2017.09.14,2017.10.04,4,false
BPAC11,20.060000,19.570000,20.060000,19.240000,19.640000,20.030000,20.030000,19.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.520000,21.010000,19.540000,266,1014.900000,18.629500,16.074298,21.184702,19.935955,19.677789,18.857137,-1.000000,19.937500,19.914444,18.541429,-1.000000,66.930779,75.314374,2017.10.31,2017.11.01,2,false
BPAC11,20.270000,19.800000,20.270000,19.800000,19.670000,19.270000,20.250000,19.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.190000,22.210000,19.270000,7,696.400000,18.581500,16.316009,20.846991,19.971404,19.611058,18.872154,16.819368,19.950000,19.748889,18.516190,16.252650,79.006912,71.507370,2018.02.01,2018.02.05,4,false
BPAC11,21.220000,20.980000,21.220000,20.930000,20.980000,20.670000,21.210000,20.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.550000,22.290000,20.670000,14,1001.450000,20.145000,18.841720,21.448280,21.039139,20.709118,20.018446,17.219003,21.072500,20.694444,20.080000,16.502950,84.233016,72.105038,2018.02.21,2018.03.02,3,false
BPAC11,18.410000,18.410000,18.410000,18.410000,18.230000,18.330000,18.330000,17.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.210000,19.170000,17.910000,1,731.000000,17.644500,16.333768,18.955232,18.390653,18.217708,17.882446,18.379498,18.462500,18.290000,17.590476,18.910550,53.894664,59.556591,2018.07.20,2018.07.20,5,true
BPAC11,22.690000,22.020000,22.690000,22.020000,22.550000,22.010000,22.660000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.010000,23.980000,22.000000,12,1367.150000,21.323500,20.019119,22.627881,22.395410,21.962558,21.440826,19.540809,22.440000,21.787778,21.301905,19.600200,83.916654,69.929648,2018.12.27,2019.01.03,4,true
BPAC11,25.200000,24.720000,25.200000,24.720000,25.040000,24.990000,25.190000,24.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,25.990000,24.790000,550,1556.500000,23.771500,20.254761,27.288239,25.186861,24.988870,23.963339,20.161987,25.162500,25.473333,23.633333,19.849450,59.843418,69.425865,2019.01.16,2019.01.17,3,true
BPAC11,25.620000,25.600000,25.620000,25.500000,25.430000,24.720000,25.610000,24.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.390000,27.390000,24.720000,22,1567.000000,24.015500,20.641331,27.389669,25.415317,25.151896,24.132953,20.218562,25.292500,25.490000,23.870476,19.873200,87.131537,72.061876,2019.01.17,2019.01.18,4,true
